latitude,longitude,altitude,x,y,land
32.588136,35.529967,33.508816,-0.999950,0.065327,-1
32.588136,35.530074,30.855673,-0.999950,0.075377,-1
32.588136,35.530181,28.202528,-0.999951,0.085427,-1
32.588136,35.530288,25.549381,-0.999951,0.095477,-1
32.588136,35.530395,22.896236,-0.999951,0.105528,-1
32.588136,35.530502,20.250883,-0.999951,0.115578,-1
32.588136,35.530610,17.625046,-0.999951,0.125628,-1
32.588136,35.530717,14.999211,-0.999951,0.135678,-1
32.588136,35.530824,12.373377,-0.999951,0.145729,-1
32.588136,35.530931,9.747544,-0.999951,0.155779,-1
32.588136,35.531038,7.121713,-0.999952,0.165829,-1
32.588136,35.531145,4.495884,-0.999952,0.175879,-1
32.588136,35.531253,2.007051,-0.999952,0.185930,-1
32.588136,35.531360,-0.462707,-0.999952,0.195980,-1
32.588136,35.531467,-2.932464,-0.999952,0.206030,-1
32.588136,35.531574,-5.402218,-0.999953,0.216080,-1
32.588136,35.531681,-7.871971,-0.999953,0.226131,-1
32.588136,35.531788,-10.341721,-0.999953,0.236181,-1
32.588136,35.531895,-12.537141,-0.999953,0.246231,-1
32.588136,35.532003,-14.423596,-0.999953,0.256281,-1
32.588136,35.532110,-16.310051,-0.999954,0.266332,-1
32.588136,35.532217,-18.196508,-0.999954,0.276382,-1
32.588136,35.532324,-20.082964,-0.999954,0.286432,-1
32.588136,35.532431,-21.969421,-0.999955,0.296482,-1
32.588136,35.532538,-23.902325,-0.999955,0.306533,-1
32.588136,35.532646,-26.528131,-0.999955,0.316583,-1
32.588136,35.532753,-29.153934,-0.999956,0.326633,-1
32.588136,35.532860,-31.779736,-0.999956,0.336683,-1
32.588136,35.532967,-34.405533,-0.999956,0.346734,-1
32.588136,35.533074,-37.031326,-0.999957,0.356784,-1
32.588136,35.533181,-39.657116,-0.999957,0.366834,-1
32.588136,35.533289,-42.051483,-0.999957,0.376884,-1
32.588136,35.533396,-44.324123,-0.999958,0.386935,-1
32.588136,35.533503,-46.596760,-0.999958,0.396985,-1
32.588136,35.533610,-48.869381,-0.999958,0.407035,-1
32.588136,35.533717,-51.141998,-0.999959,0.417085,-1
32.588136,35.533824,-53.414600,-0.999959,0.427136,-1
32.588136,35.533932,-55.458508,-0.999960,0.437186,-1
32.588136,35.534039,-56.808361,-0.999960,0.447236,-1
32.588136,35.534146,-58.158207,-0.999961,0.457286,-1
32.588136,35.534253,-59.508041,-0.999961,0.467337,-1
32.588136,35.534360,-60.857872,-0.999962,0.477387,-1
32.588136,35.534467,-62.207687,-0.999962,0.487437,-1
32.588136,35.534575,-63.557495,-0.999963,0.497487,-1
32.588136,35.534682,-64.513840,-0.999963,0.507538,-1
32.588136,35.534789,-65.395424,-0.999964,0.517588,-1
32.588136,35.534896,-66.277000,-0.999964,0.527638,-1
32.588136,35.535003,-67.158562,-0.999965,0.537688,-1
32.588136,35.535110,-68.040115,-0.999965,0.547739,-1
32.588136,35.535218,-68.921654,-0.999966,0.557789,-1
32.588136,35.535325,-69.826881,-0.999966,0.567839,-1
32.588136,35.535432,-70.763153,-0.999967,0.577889,-1
32.588136,35.535539,-71.699417,-0.999967,0.587940,-1
32.588136,35.535646,-72.635681,-0.999968,0.597990,-1
32.588136,35.535753,-73.571945,-0.999969,0.608040,-1
32.588136,35.535861,-74.508202,-0.999969,0.618090,-1
32.588136,35.535968,-75.463211,-0.999970,0.628141,-1
32.588136,35.536075,-77.138718,-0.999970,0.638191,-1
32.588136,35.536182,-78.814217,-0.999971,0.648241,-1
32.588136,35.536289,-80.489700,-0.999972,0.658291,-1
32.588136,35.536396,-82.165176,-0.999972,0.668342,-1
32.588136,35.536503,-83.840645,-0.999973,0.678392,-1
32.588136,35.536611,-85.516098,-0.999974,0.688442,-1
32.588136,35.536718,-86.839684,-0.999975,0.698492,-1
32.588136,35.536825,-87.945663,-0.999975,0.708543,-1
32.588136,35.536932,-89.051643,-0.999976,0.718593,-1
32.588135,35.537039,-90.157631,-0.999977,0.728643,-1
32.588135,35.537146,-91.263611,-0.999977,0.738693,-1
32.588135,35.537254,-92.369591,-0.999978,0.748744,-1
32.588135,35.537361,-93.505531,-0.999979,0.758794,-1
32.588135,35.537468,-94.753868,-0.999980,0.768844,-1
32.588135,35.537575,-96.002197,-0.999980,0.778894,-1
32.588135,35.537682,-97.250534,-0.999981,0.788945,-1
32.588135,35.537789,-98.498863,-0.999982,0.798995,-1
32.588135,35.537897,-99.747192,-0.999983,0.809045,-1
32.588135,35.538004,-100.995514,-0.999984,0.819095,-1
32.588135,35.538111,-102.505470,-0.999984,0.829146,-1
32.588135,35.538218,-104.079651,-0.999985,0.839196,-1
32.588135,35.538325,-105.653831,-0.999986,0.849246,-1
32.588135,35.538432,-107.228012,-0.999987,0.859296,-1
32.588135,35.538540,-108.802193,-0.999988,0.869347,-1
32.588135,35.538647,-110.376373,-0.999989,0.879397,-1
32.588135,35.538754,-112.264549,-0.999990,0.889447,-1
32.588135,35.538861,-114.632805,-0.999990,0.899497,-1
32.588135,35.538968,-117.001068,-0.999991,0.909548,-1
32.588135,35.539075,-119.369339,-0.999992,0.919598,-1
32.588135,35.539183,-121.737610,-0.999993,0.929648,-1
32.588135,35.539290,-124.105896,-0.999994,0.939698,-1
32.588135,35.539397,-126.474174,-0.999995,0.949749,-1
32.588135,35.539504,-129.332184,-0.999996,0.959799,-1
32.588135,35.539611,-132.196182,-0.999997,0.969849,-1
32.588135,35.539718,-135.060196,-0.999998,0.979899,-1
32.588135,35.539826,-137.924225,-0.999999,0.989950,-1
32.588135,35.539933,-140.788269,-1.000000,1.000000,-1
32.588226,35.518607,244.647797,-0.990000,-1.000000,-1
32.588226,35.518714,244.966797,-0.989999,-0.989950,-1
32.588226,35.518822,245.284363,-0.989998,-0.979899,-1
32.588226,35.518929,245.596558,-0.989997,-0.969849,-1
32.588226,35.519036,245.908752,-0.989996,-0.959799,-1
32.588226,35.519143,246.220947,-0.989995,-0.949749,-1
32.588226,35.519250,246.533142,-0.989994,-0.939698,-1
32.588226,35.519357,246.845352,-0.989993,-0.929648,-1
32.588226,35.519465,247.157547,-0.989992,-0.919598,-1
32.588226,35.519572,247.344086,-0.989991,-0.909548,-1
32.588226,35.519679,247.500214,-0.989990,-0.899497,-1
32.588226,35.519786,247.656342,-0.989990,-0.889447,-1
32.588226,35.519893,247.812469,-0.989989,-0.879397,-1
32.588226,35.520000,247.968582,-0.989988,-0.869347,-1
32.588226,35.520108,248.124710,-0.989987,-0.859296,-1
32.588226,35.520215,248.218781,-0.989986,-0.849246,-1
32.588226,35.520322,248.218826,-0.989985,-0.839196,-1
32.588226,35.520429,248.218887,-0.989984,-0.829146,-1
32.588226,35.520536,248.218948,-0.989984,-0.819095,-1
32.588226,35.520643,248.218994,-0.989983,-0.809045,-1
32.588226,35.520751,248.219055,-0.989982,-0.798995,-1
32.588226,35.520858,248.219101,-0.989981,-0.788945,-1
32.588226,35.520965,248.528214,-0.989980,-0.778894,-1
32.588226,35.521072,248.840393,-0.989980,-0.768844,-1
32.588226,35.521179,249.152588,-0.989979,-0.758794,-1
32.588226,35.521286,249.464767,-0.989978,-0.748744,-1
32.588226,35.521394,249.776947,-0.989977,-0.738693,-1
32.588226,35.521501,250.089127,-0.989977,-0.728643,-1
32.588226,35.521608,249.926697,-0.989976,-0.718593,-1
32.588226,35.521715,249.424286,-0.989975,-0.708543,-1
32.588226,35.521822,248.921844,-0.989975,-0.698492,-1
32.588226,35.521929,248.419403,-0.989974,-0.688442,-1
32.588226,35.522037,247.916946,-0.989973,-0.678392,-1
32.588226,35.522144,247.414474,-0.989972,-0.668342,-1
32.588226,35.522251,246.643417,-0.989972,-0.658291,-1
32.588226,35.522358,244.607681,-0.989971,-0.648241,-1
32.588226,35.522465,242.571945,-0.989970,-0.638191,-1
32.588226,35.522572,240.536209,-0.989970,-0.628141,-1
32.588226,35.522679,238.500458,-0.989969,-0.618090,-1
32.588226,35.522787,236.464706,-0.989969,-0.608040,-1
32.588226,35.522894,234.428970,-0.989968,-0.597990,-1
32.588226,35.523001,231.679642,-0.989967,-0.587940,-1
32.588226,35.523108,228.714355,-0.989967,-0.577889,-1
32.588226,35.523215,225.749054,-0.989966,-0.567839,-1
32.588226,35.523322,222.783768,-0.989966,-0.557789,-1
32.588226,35.523430,219.818481,-0.989965,-0.547739,-1
32.588226,35.523537,216.853195,-0.989965,-0.537688,-1
32.588226,35.523644,213.939178,-0.989964,-0.527638,-1
32.588226,35.523751,211.116196,-0.989964,-0.517588,-1
32.588226,35.523858,208.293228,-0.989963,-0.507538,-1
32.588226,35.523965,205.470245,-0.989963,-0.497487,-1
32.588226,35.524073,202.647263,-0.989962,-0.487437,-1
32.588226,35.524180,199.824280,-0.989962,-0.477387,-1
32.588226,35.524287,197.001297,-0.989961,-0.467337,-1
32.588226,35.524394,194.333542,-0.989961,-0.457286,-1
32.588226,35.524501,191.673492,-0.989960,-0.447236,-1
32.588226,35.524608,189.013443,-0.989960,-0.437186,-1
32.588226,35.524716,186.353394,-0.989959,-0.427136,-1
32.588226,35.524823,183.693344,-0.989959,-0.417085,-1
32.588226,35.524930,181.033295,-0.989958,-0.407035,-1
32.588226,35.525037,178.791168,-0.989958,-0.396985,-1
32.588226,35.525144,176.897675,-0.989958,-0.386935,-1
32.588226,35.525251,175.004181,-0.989957,-0.376884,-1
32.588226,35.525359,173.110687,-0.989957,-0.366834,-1
32.588226,35.525466,171.217178,-0.989957,-0.356784,-1
32.588226,35.525573,169.323669,-0.989956,-0.346734,-1
32.588226,35.525680,167.280670,-0.989956,-0.336683,-1
32.588226,35.525787,164.301575,-0.989956,-0.326633,-1
32.588226,35.525894,161.322479,-0.989955,-0.316583,-1
32.588226,35.526002,158.343369,-0.989955,-0.306533,-1
32.588226,35.526109,155.364273,-0.989955,-0.296482,-1
